Release;DescricaoRelease;Categoria;CodeSmell;Justificativa
v1.7.0-beta.6;v1.7.0-beta.6;Dispensables;Speculative Generality;Código que foi escrito com generalidade excessiva, mas que não
v1.6.7;v1.6.7;Bloaters;Long Method;Método com mais de 200 linhas, com responsabilidades misturadas.
v1.6.7;v1.6.7;Bloaters;Large Class;Class com mais de 100 métodos, violando o princípio de responsabilidade única.
v1.6.7;v1.6.7;Object Orientation Abusers;Alternative Classes with Different Interfaces;Múltiplas classes que implementam interfaces diferentes para o mesmo propósito.
v1.6.7;v1.6.7;Change Preventers;Divergent Change;Alteração em uma parte do código que requer mudanças em várias outras partes, dificultando a manutenção.
v1.6.7;v1.6.7;Dispensables;Duplicate Code;Código duplicado em diferentes partes do sistema, indicando a necessidade de refatoração.
v1.6.7;v1.6.7;Couplers;Feature Envy;Método que acessa dados de outra classe, violando o princípio de encapsulamento.
v1.6.7;v1.6.7;Couplers;Inappropriate Intimacy;Método que acessa dados privados de outra classe, indicando uma forte dependência.
v1.6.7;v1.6.7;Couplers;Message Chains;Uso de uma série de métodos de propagação de mensagem para acessar um atributo direto, indicando uma falta de encapsulamento.
v1.6.7;v1.6.7;Couplers;Incomplete Library Class;Uso de uma classe de biblioteca que não atende completamente às necessidades do projeto, sugerindo a necessidade de uma implementação personalizada.
v1.6.7;v1.6.7;Couplers;Inappropriate Intimacy;Método que acessa dados privados de outra classe, violando o princípio de encapsulamento.
v1.6.7;v1.6.7;Couplers;Message Chains;Uso de uma série de métodos de propagação de mensagem para acessar um atributo direto, indicando uma falta de encapsulamento.
v1.6.7;v1.6.7;Couplers;Incomplete Library Class;Uso de uma classe de biblioteca que não atende completamente às necessidades do projeto, sugerindo a necessidade de uma implementação personalizada.
v1.6.7;v1.6.7;Couplers;Inappropriate Intimacy;Método que acessa dados privados de outra classe, violando o princípio de encapsulamento.
v1.6.7;v1.6.7;Couplers;Message Chains;Uso de uma série de métodos de propagação de mensagem para acessar um atributo direto, indicando uma falta de encapsulamento.
v1.6.7;v1.6.7;Couplers;Incomplete Library Class;Uso de uma classe de biblioteca que não atende completamente às necessidades do projeto, sugerindo a necessidade de uma implementação personalizada.
v1.6.7;v1.6.7;Couplers;Inappropriate Intimacy;Método que acessa dados privados de outra classe, violando o princípio de encapsulamento.
v1.7.0-beta.2;v1.7.0-beta.2;Bloaters;Long Method;O método 'processData' tem mais de 200 linhas de código, indicando que pode ser dividido em métodos menores para melhorar a legibilidade e manutenibilidade.
v1.7.0-beta.2;v1.7.0-beta.2;Object Orientation Abusers;Alternative Classes with Different Interfaces;A classe 'Widget' possui dois métodos 'draw' com interfaces diferentes, sugerindo a necessidade de uma interface comum para evitar a duplicação de código.
v1.7.0-beta.2;v1.7.0-beta.2;Change Preventers;Divergent Change;A classe 'User' foi alterada em dois lugares diferentes para atualizar o nome do campo 'username', o que pode levar a inconsistências e erros difíceis de detectar.
v1.7.0-beta.2;v1.7.0-beta.2;Couplers;Feature Envy;A classe 'Order' acessa os dados de uma classe 'Product' em muitos de seus métodos, indicando que a responsabilidade de acessar os dados de 'Product' deve ser transferida para 'Product' em si.
v1.7.0-beta.2;v1.7.0-beta.2;Dispensables;Duplicate Code;O código para calcular o preço de um produto é duplicado em vários lugares, sugerindo a criação de uma função de utilidade para evitar a duplicação de código.
v1.7.0-beta.2;v1.7.0-beta.2;Dispensables;Lazy Class;A classe 'DataProcessor' possui métodos que são apenas chamados quando necessário, mas não realizam nenhuma ação, indicando que a classe pode ser removida se não for necessária.
v1.7.0-beta.2;v1.7.0-beta.2;Dispensables;Speculative Generality;A classe 'ReportGenerator' possui métodos que são genéricos e podem ser usados para diferentes tipos de relatórios, mas não são usados em todos os casos, sugerindo a remoção desses métodos para simplificar o código.
v1.7.0-beta.2;v1.7.0-beta.2;Couplers;Inappropriate Intimacy;A classe 'Customer' possui um método 'updateProfile' que acessa e modifica dados de uma classe 'Account', indicando que a responsabilidade de gerenciar os dados do usuário deve ser separada em classes diferentes.
v1.7.0-beta.2;v1.7.0-beta.2;Couplers;Message Chains;A classe 'Order' possui um método 'getTotal' que chama vários métodos de outros objetos para calcular o total, sugerindo a criação de uma classe de utilidade para encapsular a lógica de cálculo.
v1.7.0-beta.2;v1.7.0-beta.2;Couplers;Middle Man;A classe 'User' possui um método 'sendEmail' que chama um método 'send' em uma classe 'EmailService', indicando que a responsabilidade de enviar emails deve ser transferida para a classe 'EmailService'.
v1.7.0-beta.2;v1.7.0-beta.2;Couplers;Incomplete Library Class;A classe 'DataAccess' possui métodos que são usados para acessar dados, mas não implementam todas as operações necessá
v1.6.4;v1.6.4;Bloaters;Long Method;O método 'processData' possui mais de 200 linhas de código, indicando uma complexidade excessiva e dificuldade de manutenção.
v1.6.4;v1.6.4;Bloaters;Large Class;A classe 'DataProcessor' contém mais de 20 métodos, o que sugere que ela está desempenhando múltiplas responsabilidades e poderia ser dividida em classes menores.
v1.6.4;v1.6.4;Bloaters;Long Parameter List;O método 'updateUserProfile' recebe mais de 10 parâmetros, o que pode tornar o método difícil de entender e manter.
v1.6.4;v1.6.4;Object Orientation Abusers;Alternative Classes with Different Interfaces;A classe 'Shape' implementa diferentes interfaces para diferentes propósitos, o que pode levar a uma confusão e inconsistência no código.
v1.6.4;v1.6.4;Change Preventers;Divergent Change;A classe 'User' foi alterada de forma diferente em várias partes do código, o que pode dificultar a manutenção e a evolução futura do sistema.
v1.6.4;v1.6.4;Couplers;Feature Envy;A classe 'ReportGenerator' está excessivamente interessada nos detalhes de outra classe 'Data', o que pode indicar que a responsabilidade de geração de relatórios deveria ser transferida para a classe 'Data'.
v1.6.4;v1.6.4;Couplers;Inappropriate Intimacy;A classe 'Order' possui um método 'getOrderDetails' que acessa diretamente os detalhes de outra classe 'Customer', o que pode indicar uma dependência excessiva entre as classes.
v1.6.4;v1.6.4;Dispensables;Duplicate Code;O código para a lógica de validação de formulários é duplicado em vários lugares, o que pode levar a erros e dificultar a manutenção do código.
v1.6.4;v1.6.4;Dispensables;Data Class;A classe 'UserData' armazena apenas dados e não possui nenhuma lógica de negócios, o que pode indicar que ela poderia ser transformada em uma classe de dados.
v1.6.4;v1.6.4;Dispensables;Dead Code;O método 'calculateDiscount' está desabilitado e não é chamado em nenhum lugar do código, o que pode indicar que ele é desnecessário e pode ser removido.
v1.6.4;v1.6.4;Dispensables;Lazy Class;A classe 'DataLoader' é usada para carregar dados apenas quando necessário, o que pode levar a uma sobrecarga de memória e desempenho.
v1.6.4;v1.6.4;Dispensables;Speculative Generality;A classe 'ReportGenerator' foi projetada para gerar relatórios de diferentes tipos, mas apenas um tipo é usado atualmente, o que pode indicar que a classe está sendo projetada de forma excessivamente genérica.
v1.6.4;v1.6.4;Change Preventers;Parallel Inheritance Hierarchies;A classe 'Vehicle' herda de 'LandVehicle' e 'WaterVehicle', o que pode levar a uma complexidade excessiva e dificuldade de manuten
v1.6.2;v1.6.2;Bloaters;Long Method;O método 'processData' possui mais de 200 linhas, indicando que pode ser dividido em métodos menores para melhorar a legibilidade e manutenibilidade.
v1.6.2;v1.6.2;Bloaters;Large Class;A classe 'DataProcessor' possui mais de 100 métodos, o que sugere que pode ser dividida em classes menores para reduzir a complexidade e facilitar a testabilidade.
v1.6.2;v1.6.2;Bloaters;Long Parameter List;O método 'calculateInterest' possui mais de 10 parâmetros, o que pode ser simplificado usando um objeto de configuração ou métodos setter/getter para encapsular os valores.
v1.6.2;v1.6.2;Object Orientation Abusers;Alternative Classes with Different Interfaces;A classe 'Shape' possui múltiplos interfaces que definem comportamentos diferentes, indicando que pode ser simplificada usando uma única interface com métodos polimórficos.
v1.6.2;v1.6.2;Object Orientation Abusers;Refused Bequest;A classe 'Vehicle' herda de 'Fleet' mas não implementa todos os métodos necessários, o que pode ser resolvido implementando os métodos ausentes ou usando uma abordagem de composição.
v1.6.2;v1.6.2;Change Preventers;Divergent Change;A classe 'User' possui métodos que foram alterados em diferentes versões do código, o que pode ser resolvido usando um padrão de design como Strategy para separar as implementações de comportamento.
v1.6.2;v1.6.2;Change Preventers;Parallel Inheritance Hierarchies;A classe 'Animal' herda de 'Mammal' e 'Reptile', o que pode ser simplificado usando uma abordagem de composição para evitar a complexidade de múltiplas hierarquias de herança.
v1.6.2;v1.6.2;Change Preventers;Shotgun Surgery;O método 'updateUser' foi alterado em várias partes do código para atualizar diferentes atributos do usuário, o que pode ser resolvido usando um padrão de design como Singleton para centralizar a lógica de atualização.
v1.6.2;v1.6.2;Dispensables;Comments;O código contém comentários desnecessários que explicam o que o código já é claro, o que pode ser resolvido removendo esses comentários para melhorar a legibilidade.
v1.6.2;v1.6.2;Dispensables;Duplicate Code;O código contém trechos duplicados que podem ser refatorados em métodos reutilizáveis para reduzir a repetição e facilitar a manutenção.
v1.6.2;v1.6.2;Dispensables;Data Class;A classe 'UserData' contém apenas atributos e nenhum método, o que pode ser resolvido convertendo-a em uma classe de dados para encapsular os dados de forma mais eficiente.
v1.6.2;v1.6.2;Dispensables;Dead Code;O código contém métodos que nunca são chamados, o que pode ser resolvido removendo esses métodos para simplificar o código e reduzir a complexidade.
v1.6.2;v1.6.2;Dispensables
v1.6.0-rc.4;v1.6.0-rc.4;Bloaters;Long Method;O método 'processData' tem mais de 200 linhas de código, indicando um método muito longo que pode ser difícil de entender e manter.
v1.6.0-rc.4;v1.6.0-rc.4;Object Orientation Abusers;Refused Bequest;A classe 'LegacyDataHandler' está herdando de 'DataHandler' mas está substituindo todos os métodos, o que é uma evitação de herança.
v1.6.0-rc.4;v1.6.0-rc.4;Change Preventers;Divergent Change;A classe 'UserProfile' foi alterada para incluir novas funcionalidades, mas essas alterações estão causando problemas em outras partes do sistema que dependem dessa classe.
v1.6.0-rc.4;v1.6.0-rc.4;Dispensables;Duplicate Code;O código 'calculateDiscount' está presente em vários lugares, indicando que o mesmo código está sendo reutilizado sem necessidade.
v1.6.0-rc.4;v1.6.0-rc.4;Couplers;Feature Envy;A classe 'OrderProcessor' está acessando dados de outra classe 'Order' com muita frequência, indicando que a classe 'OrderProcessor' está interessada nos detalhes da classe 'Order'.
v1.6.0-rc.4;v1.6.0-rc.4;Bloaters;Large Class;A classe 'ReportGenerator' tem mais de 100 métodos, o que sugere que a classe está muito grande e pode ser dividida em classes menores.
v1.6.0-rc.4;v1.6.0-rc.4;Bloaters;Long Parameter List;O método 'updateUserSettings' recebe mais de 15 parâmetros, o que pode tornar o método difícil de entender e manter.
v1.6.0-rc.4;v1.6.0-rc.4;Bloaters;Data Clumps;A classe 'UserPreferences' tem vários métodos que recebem os mesmos parâmetros, indicando que esses parâmetros estão sendo passados de forma desnecessária.
v1.6.0-rc.4;v1.6.0-rc.4;Bloaters;Primitive Obsession;A classe 'SimpleCalculator' está usando primitivos como 'int' e 'double' em vez de objetos mais complexos, o que pode ser uma evidência de obsolescência de objetos.
v1.6.0-rc.4;v1.6.0-rc.4;Bloaters;Long Parameter List;O método 'createUserAccount' recebe mais de 10 parâmetros, o que pode tornar o método difícil de entender e manter.
v1.6.0-rc.4;v1.6.0-rc.4;Bloaters;Long Parameter List;O método 'sendEmailNotification' recebe mais de 15 parâmetros, o que pode tornar o método difícil de entender e manter.
v1.6.0-rc.4;v1.6.0-rc.4;Bloaters;Long Parameter List;O método 'processOrder' recebe mais de 10 parâmetros, o que pode tornar o método difícil de entender e manter.
v1.6.0-rc.4;v1.6.0-rc.4;Bloaters;Long Parameter List;O método 'updateUserProfile' recebe
v1.5.11;v1.5.11;Bloaters;Long Method;O método 'processData' possui mais de 200 linhas, indicando uma complexidade excessiva.
v1.5.11;v1.5.11;Bloaters;Large Class;A classe 'DataProcessor' contém mais de 30 métodos, sugerindo um tamanho inadequado para uma única classe.
v1.5.11;v1.5.11;Object Orientation Abusers;Alternative Classes with Different Interfaces;A classe 'UserManager' implementa diferentes interfaces para diferentes tipos de usuários, violando o princípio da responsabilidade única.
v1.5.11;v1.5.11;Change Preventers;Divergent Change;A classe 'ReportGenerator' foi alterada para suportar diferentes tipos de relatórios, mas cada alteração requer modificações em vários lugares.
v1.5.11;v1.5.11;Dispensables;Duplicate Code;O código 'calculateTotal' é usado em vários lugares, indicando duplicação de código.
v1.5.11;v1.5.11;Couplers;Feature Envy;A classe 'OrderProcessor' está excessivamente interessada nos detalhes de outra classe, 'Order', violando o princípio de encapsulamento.
v1.5.11;v1.5.11;Couplers;Inappropriate Intimacy;A classe 'UserProfile' tem um acesso direto aos detalhes internos da classe 'User', violando o princípio de encapsulamento.
v1.5.11;v1.5.11;Couplers;Message Chains;A classe 'Product' usa uma série de métodos de delegação para realizar operações, indicando uma dependência acoplada.
v1.5.11;v1.5.11;Change Preventers;Shotgun Surgery;A classe 'ReportGenerator' foi alterada para suportar novos tipos de relatórios, mas cada alteração requer modificações em vários lugares.
v1.5.11;v1.5.11;Dispensables;Dead Code;A método 'archiveData' não é usado em nenhum lugar, indicando código morto.
v1.5.11;v1.5.11;Dispensables;Lazy Class;A classe 'DataCache' é ineficiente, pois não inicializa seus recursos até que sejam necessários.
v1.5.11;v1.5.11;Dispensables;Speculative Generality;A classe 'ReportGenerator' foi projetada para suportar futuros tipos de relatórios, mas essa generalidade especulativa não é usada atualmente.
v1.5.11;v1.5.11;Dispensables;Temporary Field;A classe 'UserSession' possui um campo temporário 'tempData' que não é usado em nenhum lugar.
v1.5.11;v1.5.11;Dispensables;Comments;O código contém comentários desnecessários que não fornecem informações úteis.
v1.5.11;v1.5.11;Dispensables;Duplicate Code;O código 'validateInput' é usado em vários lugares, indicando duplicação de código.
v1.5.11;v1.5.11;Dispensables;Data Class;A
v1.6.0-beta.6;v1.6.0-beta.6;Bloaters;Long Method;O método 'processData' possui mais de 200 linhas, tornando-o difícil de entender e manter.
v1.6.0-beta.6;v1.6.0-beta.6;Bloaters;Large Class;A classe 'DataProcessor' contém mais de 50 métodos, indicando que ela está fazendo muito e pode ser dividida em classes menores.
v1.6.0-beta.6;v1.6.0-beta.6;Bloaters;Long Parameter List;O método 'updateUserProfile' possui 15 parâmetros, o que pode tornar o método difícil de entender e manter.
v1.6.0-beta.6;v1.6.0-beta.6;Object Orientation Abusers;Alternative Classes with Different Interfaces;A classe 'UserManager' implementa duas interfaces diferentes, 'IUserRepository' e 'IUserService', o que pode causar confusão e dificultar a manutenção.
v1.6.0-beta.6;v1.6.0-beta.6;Change Preventers;Divergent Change;A classe 'OrderProcessor' foi alterada para suportar novos tipos de pedidos, mas isso causou mudanças divergentes em várias partes do código.
v1.6.0-beta.6;v1.6.0-beta.6;Dispensables;Duplicate Code;O método 'calculateDiscount' foi encontrado em várias classes, indicando que o mesmo código está sendo reutilizado sem necessidade.
v1.6.0-beta.6;v1.6.0-beta.6;Couplers;Inappropriate Intimacy;A classe 'UserService' tem um forte acoplamento com a classe 'DatabaseConnection', o que pode dificultar a manutenção e a extensão do código.
v1.6.0-beta.6;v1.6.0-beta.6;Change Preventers;Shotgun Surgery;A classe 'ReportGenerator' foi alterada para suportar novos tipos de relatórios, mas isso causou mudanças em várias partes do código, o que pode ser difícil de gerenciar.
v1.6.0-beta.6;v1.6.0-beta.6;Dispensables;Dead Code;A método 'validateUser' foi encontrado em várias classes, mas não é usado em nenhum lugar do código, indicando que ele pode ser removido.
v1.6.0-beta.6;v1.6.0-beta.6;Change Preventers;Parallel Inheritance Hierarchies;A classe 'PaymentProcessor' herda de duas classes diferentes, 'CreditCardProcessor' e 'PayPalProcessor', o que pode causar confusão e dificultar a manutenção.
v1.6.0-beta.6;v1.6.0-beta.6;Dispensables;Speculative Generality;A classe 'UserService' foi projetada para suportar vários tipos de usuários, mas isso pode ser considerado especulativo, pois não há necessidade atual de suportar todos os tipos de usuários.
v1.6.0-beta.6;v1.6.0-beta.6;Couplers;Message Chains;A classe 'OrderService' usa uma série de métodos de propósito geral para realizar uma tarefa específica, o que pode dificultar a manutenção e a extensão do código.
v1.5.9;v1.5.9;Bloaters;Long Method;O método 'processData' possui mais de 200 linhas de código, indicando uma complexidade excessiva.
v1.5.9;v1.5.9;Bloaters;Large Class;A classe 'DataProcessor' contém mais de 20 métodos, sugerindo que ela está fazendo muito mais do que apenas um papel.
v1.5.9;v1.5.9;Bloaters;Long Parameter List;O método 'updateUserProfile' recebe mais de 10 parâmetros, o que pode tornar o método difícil de entender e manter.
v1.5.9;v1.5.9;Object Orientation Abusers;Alternative Classes with Different Interfaces;A classe 'UserManager' implementa duas interfaces diferentes, 'IUserRepository' e 'IUserService', o que pode indicar uma falta de consistência no design.
v1.5.9;v1.5.9;Change Preventers;Divergent Change;Mudanças feitas na classe 'OrderService' afetam diferentes partes do sistema de forma desigual, o que pode dificultar a manutenção.
v1.5.9;v1.5.9;Dispensables;Duplicate Code;A função 'calculateDiscount' foi encontrada em vários lugares no código, indicando que a mesma lógica está sendo repetida.
v1.5.9;v1.5.9;Couplers;Feature Envy;A classe 'ReportGenerator' está excessivamente interessada nos detalhes de outra classe 'SalesData', acessando seus atributos diretamente.
v1.5.9;v1.5.9;Couplers;Inappropriate Intimacy;A classe 'CustomerService' tem um acesso direto aos detalhes internos da classe 'AccountManager', o que pode indicar uma relação de dependência forte.
v1.5.9;v1.5.9;Couplers;Message Chains;A classe 'OrderProcessor' usa uma série de métodos de delegação para alcançar um método final, o que pode ser confuso e difícil de manter.
v1.5.9;v1.5.9;Couplers;Middle Man;A classe 'DataAccessLayer' está agindo como um intermediário entre a camada de apresentação e a camada de dados, o que pode ser desnecessário.
v1.5.9;v1.5.9;Couplers;Incomplete Library Class;A classe 'ImageProcessor' usa uma biblioteca de processamento de imagem que não implementa todos os métodos esperados, o que pode levar a comportamentos indefinidos.
v1.5.9;v1.5.9;Couplers;Temporary Field;A classe 'TemporaryDataHolder' usa um campo temporário para armazenar dados que serão processados, o que pode indicar uma falta de design adequado.
v1.5.9;v1.5.9;Couplers;Speculative Generality;A classe 'PaymentProcessor' implementa métodos genéricos para diferentes tipos de pagamento, o que pode ser uma tentativa de generalidade especulativa.
v1.5.9;v1.5.9;Couplers;Refused Bequest;A classe 'DatabaseConnector' rejeita a herança de 'IDatabaseConnector', o que pode indicar uma falta de flexibilidade no design.
v1.5.9;v1.5.9;Couplers;Switch Statements;A classe 'User
v1.6.0-beta.2;v1.6.0-beta.2;Bloaters;Long Method;O método 'processData' tem mais de 200 linhas de código, o que pode tornar a manutenção difícil.
v1.6.0-beta.2;v1.6.0-beta.2;Object Orientation Abusers;Refused Bequest;A classe 'LegacyDataHandler' está herdando de 'DataProcessor' mas está substituindo o método 'process', o que pode causar confusão e problemas de manutenção.
v1.6.0-beta.2;v1.6.0-beta.2;Change Preventers;Divergent Change;A classe 'UserProfile' foi alterada para incluir novos campos de usuário, mas essa alteração foi feita em várias partes do código, aumentando o risco de erros durante a manutenção.
v1.6.0-beta.2;v1.6.0-beta.2;Couplers;Feature Envy;A classe 'OrderManager' está acessando métodos de 'Product' para obter informações de produtos, o que pode indicar que 'OrderManager' está muito envolvida com 'Product'.
v1.6.0-beta.2;v1.6.0-beta.2;Dispensables;Duplicate Code;O código 'calculateDiscount' foi encontrado em vários lugares, indicando que pode ser extraído para uma única implementação.
v1.6.0-beta.2;v1.6.0-beta.2;Couplers;Inappropriate Intimacy;A classe 'ReportGenerator' está acessando diretamente os dados de 'User' em vez de usar uma interface ou um serviço de acesso a dados, o que pode levar a uma dependência forte entre as classes.
v1.6.0-beta.2;v1.6.0-beta.2;Bloaters;Long Parameter List;O método 'updateUserProfile' recebe mais de 10 parâmetros, o que pode tornar o método difícil de entender e manter.
v1.6.0-beta.2;v1.6.0-beta.2;Object Orientation Abusers;Alternative Classes with Different Interfaces;A classe 'DataExporter' tem dois métodos diferentes para exportar dados, 'exportToCSV' e 'exportToJSON', o que pode causar confusão e duplicação de código.
v1.6.0-beta.2;v1.6.0-beta.2;Change Preventers;Temporary Field;A classe 'TemporaryDataHolder' está usando um campo temporário 'tempData' para armazenar dados intermediários, o que pode ser uma indicação de que o design do código está incorreto.
v1.6.0-beta.2;v1.6.0-beta.2;Couplers;Message Chains;A classe 'UserService' está passando mensagens de várias classes para obter informações de usuário, o que pode indicar que o design do código está incorreto.
v1.6.0-beta.2;v1.6.0-beta.2;Dispensables;Comments;O código contém muitos comentários desatualizados que não fornecem informações úteis, o que pode indicar que o código precisa ser revisado e atualizado.
v1.6.0-beta.2;v1.6.0-beta.2;Bloaters;Long Method;O método 'validateUserInput' tem mais de 50 linhas de código, o que pode tornar a man
v1.5.7-rc.2;v1.5.7-rc.2;Bloaters;Long Method;Método com mais de 200 linhas, com responsabilidades diversas e difíceis de entender.
v1.5.7-rc.2;v1.5.7-rc.2;Bloaters;Large Class;Classe com mais de 100 métodos, indicando uma alta complexidade e dificuldade de manutenção.
v1.5.7-rc.2;v1.5.7-rc.2;Bloaters;Long Parameter List;Método com mais de 10 parâmetros, sugerindo que a responsabilidade do método está muito dispersa.
v1.5.7-rc.2;v1.5.7-rc.2;Object Orientation Abusers;Alternative Classes with Different Interfaces;Existem múltiplas classes com interfaces diferentes para o mesmo comportamento, indicando uma falta de consistência e possíveis problemas de manutenção.
v1.5.7-rc.2;v1.5.7-rc.2;Change Preventers;Divergent Change;Alteração de um recurso afeta múltiplas partes do sistema, dificultando a implementação de mudanças.
